3.395647862578514697e+00,3.245836244938428816e+00,6.574723175433503375e-01
1.817068988959083242e+01,3.200285020601470798e+00,1.894372627660579234e+00
5.612339867305206731e+00,1.990134554621148189e+00,5.667322648474736546e+00

7.094977113357555432e+00,1.055057584189262654e+00,3.331949733429639515e+00
2.149894660329736240e+01,4.446239350696473025e+00,4.167080830805899305e-01
5.282106343709341623e+00,7.790554483853450174e-01,4.684763379412688167e+00

Curr best from training against agent 1
2.117631256378737170e+00,-3.944455337150245988e+00,5.113482336686972829e+00
1.665091039642065596e+01,7.451710742755387251e+00,5.971050293471820147e+00
9.500269344625360546e+00,1.506275625352727632e-01,2.014347815015993248e+00

1.804075149172744696e+00,-4.212779217894907724e+00,4.930360834643188639e+00
1.679046605685480387e+01,7.936436991906011151e+00,6.604525030445975275e+00
9.470004402136394717e+00,-2.513397485372405038e-01,1.714294665059758804e+00
0,0,0
